description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Helm - Red -> Purple	1					18	375	3		4	helm,any	gpv,qty=3						useitem				CD_Purple			1	1	state		214	1	1	CD_Tracker			4	4	CD_Red			-1	-1	state		210	-1	-1																																																											0
Helm - Red -> White	1					18	375	3		4	helm,any	gpw,qty=3						useitem				CD_White			1	1	state		208	1	1	CD_Tracker			-2	-2	CD_Red			-1	-1	state		210	-1	-1																																																											0
Helm - Red -> Black	1					18	375	3		4	helm,any	skz,qty=3						useitem				CD_Black			1	1	state		209	1	1	CD_Tracker			-1	-1	CD_Red			-1	-1	state		210	-1	-1																																																											0
Helm - Red -> Normal	1					18	375	3		4	helm,any	yps,qty=3						useitem														CD_Tracker			-3	-3	CD_Red			-1	-1	state		210	-1	-1																																																											0
Helm - Green -> Blue	1					18	375	4		4	helm,any	gpy,qty=3						useitem				CD_Blue			1	1	state		212	1	1	CD_Tracker			1	1	CD_Green			-1	-1	state		211	-1	-1																																																											0
Helm - Green -> Yellow	1					18	375	4		4	helm,any	gpv,qty=3						useitem				CD_Yellow			1	1	state		213	1	1	CD_Tracker			2	2	CD_Green			-1	-1	state		211	-1	-1																																																											0
Helm - Green -> Purple	1					18	375	4		4	helm,any	gpw,qty=3						useitem				CD_Purple			1	1	state		214	1	1	CD_Tracker			3	3	CD_Green			-1	-1	state		211	-1	-1																																																											0
Helm - Green -> White	1					18	375	4		4	helm,any	skz,qty=3						useitem				CD_White			1	1	state		208	1	1	CD_Tracker			-3	-3	CD_Green			-1	-1	state		211	-1	-1																																																											0
Helm - Green -> Black	1					18	375	4		4	helm,any	gpr,qty=3						useitem				CD_Black			1	1	state		209	1	1	CD_Tracker			-2	-2	CD_Green			-1	-1	state		211	-1	-1																																																											0
Helm - Green -> Red	1					18	375	4		4	helm,any	gpg,qty=3						useitem				CD_Red			1	1	state		210	1	1	CD_Tracker			-1	-1	CD_Green			-1	-1	state		211	-1	-1																																																											0
Helm - Green -> Normal	1					18	375	4		4	helm,any	yps,qty=3						useitem														CD_Tracker			-4	-4	CD_Green			-1	-1	state		211	-1	-1																																																											0
Helm - Blue -> Yellow	1					18	375	5		4	helm,any	gpv,qty=3						useitem				CD_Yellow			1	1	state		213	1	1	CD_Tracker			1	1	CD_Blue			-1	-1	state		212	-1	-1																																																											0
Helm - Blue -> Purple	1					18	375	5		4	helm,any	gpw,qty=3						useitem				CD_Purple			1	1	state		214	1	1	CD_Tracker			2	2	CD_Blue			-1	-1	state		212	-1	-1																																																											0
Helm - Blue -> White	1					18	375	5		4	helm,any	skz,qty=3						useitem				CD_White			1	1	state		208	1	1	CD_Tracker			-4	-4	CD_Blue			-1	-1	state		212	-1	-1																																																											0
Helm - Blue -> Black	1					18	375	5		4	helm,any	gpr,qty=3						useitem				CD_Black			1	1	state		209	1	1	CD_Tracker			-3	-3	CD_Blue			-1	-1	state		212	-1	-1																																																											0
Helm - Blue -> Red	1					18	375	5		4	helm,any	gpg,qty=3						useitem				CD_Red			1	1	state		210	1	1	CD_Tracker			-2	-2	CD_Blue			-1	-1	state		212	-1	-1																																																											0
Helm - Blue -> Green	1					18	375	5		4	helm,any	gpb,qty=3						useitem				CD_Green			1	1	state		211	1	1	CD_Tracker			-1	-1	CD_Blue			-1	-1	state		212	-1	-1																																																											0
Helm - Blue -> Normal	1					18	375	5		4	helm,any	yps,qty=3						useitem														CD_Tracker			-5	-5	CD_Blue			-1	-1	state		212	-1	-1																																																											0
Helm - Yellow -> Purple	1					18	375	6		4	helm,any	gpv,qty=3						useitem				CD_Purple			1	1	state		214	1	1	CD_Tracker			1	1	CD_Yellow			-1	-1	state		213	-1	-1																																																											0
Helm - Yellow -> White	1					18	375	6		4	helm,any	gpw,qty=3						useitem				CD_White			1	1	state		208	1	1	CD_Tracker			-5	-5	CD_Yellow			-1	-1	state		213	-1	-1																																																											0
Helm - Yellow -> Black	1					18	375	6		4	helm,any	skz,qty=3						useitem				CD_Black			1	1	state		209	1	1	CD_Tracker			-4	-4	CD_Yellow			-1	-1	state		213	-1	-1																																																											0
Helm - Yellow -> Red	1					18	375	6		4	helm,any	gpr,qty=3						useitem				CD_Red			1	1	state		210	1	1	CD_Tracker			-3	-3	CD_Yellow			-1	-1	state		213	-1	-1																																																											0
Helm - Yellow -> Green	1					18	375	6		4	helm,any	gpg,qty=3						useitem				CD_Green			1	1	state		211	1	1	CD_Tracker			-2	-2	CD_Yellow			-1	-1	state		213	-1	-1																																																											0
Helm - Yellow -> Blue	1					18	375	6		4	helm,any	gpb,qty=3						useitem				CD_Blue			1	1	state		212	1	1	CD_Tracker			-1	-1	CD_Yellow			-1	-1	state		213	-1	-1																																																											0
Helm - Yellow -> Normal	1					18	375	6		4	helm,any	yps,qty=3						useitem														CD_Tracker			-6	-6	CD_Yellow			-1	-1	state		213	-1	-1																																																											0
Helm - Purple -> White	1					18	375	7		4	helm,any	gpw,qty=3						useitem				CD_White			1	1	state		208	1	1	CD_Tracker			-6	-6	CD_Purple			-1	-1	state		214	-1	-1																																																											0
Helm - Purple -> Black	1					18	375	7		4	helm,any	skz,qty=3						useitem				CD_Black			1	1	state		209	1	1	CD_Tracker			-5	-5	CD_Purple			-1	-1	state		214	-1	-1																																																											0
Helm - Purple -> Red	1					18	375	7		4	helm,any	gpr,qty=3						useitem				CD_Red			1	1	state		210	1	1	CD_Tracker			-4	-4	CD_Purple			-1	-1	state		214	-1	-1																																																											0
Helm - Purple -> Green	1					18	375	7		4	helm,any	gpg,qty=3						useitem				CD_Green			1	1	state		211	1	1	CD_Tracker			-3	-3	CD_Purple			-1	-1	state		214	-1	-1																																																											0
Helm - Purple -> Blue	1					18	375	7		4	helm,any	gpb,qty=3						useitem				CD_Blue			1	1	state		212	1	1	CD_Tracker			-2	-2	CD_Purple			-1	-1	state		214	-1	-1																																																											0
Helm - Purple -> Yellow	1					18	375	7		4	helm,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		213	1	1	CD_Tracker			-1	-1	CD_Purple			-1	-1	state		214	-1	-1																																																											0
Helm - Purple -> Normal	1					18	375	7		4	helm,any	yps,qty=3						useitem														CD_Tracker			-7	-7	CD_Purple			-1	-1	state		214	-1	-1																																																											0
Shield - Normal -> White	1					18	375	0		4	shld,any	gpw,qty=3						useitem				CD_White			1	1	state		215	1	1	CD_Tracker			1	1				-1	-1	state			-1	-1																																																											0
Shield - Normal -> Black	1					18	375	0		4	shld,any	skz,qty=3						useitem				CD_Black			1	1	state		216	1	1	CD_Tracker			2	2				-1	-1	state			-1	-1																																																											0
Shield - Normal -> Red	1					18	375	0		4	shld,any	gpr,qty=3						useitem				CD_Red			1	1	state		217	1	1	CD_Tracker			3	3				-1	-1	state			-1	-1																																																											0
Shield - Normal -> Green	1					18	375	0		4	shld,any	gpg,qty=3						useitem				CD_Green			1	1	state		218	1	1	CD_Tracker			4	4				-1	-1	state			-1	-1																																																											0
Shield - Normal -> Blue	1					18	375	0		4	shld,any	gpb,qty=3						useitem				CD_Blue			1	1	state		219	1	1	CD_Tracker			5	5				-1	-1	state			-1	-1																																																											0
Shield - Normal -> Yellow	1					18	375	0		4	shld,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		220	1	1	CD_Tracker			6	6				-1	-1	state			-1	-1																																																											0
Shield - Normal -> Purple	1					18	375	0		4	shld,any	gpv,qty=3						useitem														CD_Tracker			7	7				-1	-1	state			-1	-1																																																											0
Shield - White -> Black	1					18	375	1		4	shld,any	skz,qty=3						useitem				CD_Black			1	1	state		216	1	1	CD_Tracker			1	1	CD_White			-1	-1	state		215	-1	-1																																																											0
Shield - White -> Red	1					18	375	1		4	shld,any	gpr,qty=3						useitem				CD_Red			1	1	state		217	1	1	CD_Tracker			2	2	CD_White			-1	-1	state		215	-1	-1																																																											0
Shield - White -> Green	1					18	375	1		4	shld,any	gpg,qty=3						useitem				CD_Green			1	1	state		218	1	1	CD_Tracker			3	3	CD_White			-1	-1	state		215	-1	-1																																																											0
Shield - White -> Blue	1					18	375	1		4	shld,any	gpb,qty=3						useitem				CD_Blue			1	1	state		219	1	1	CD_Tracker			4	4	CD_White			-1	-1	state		215	-1	-1																																																											0
Shield - White -> Yellow	1					18	375	1		4	shld,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		220	1	1	CD_Tracker			5	5	CD_White			-1	-1	state		215	-1	-1																																																											0
Shield - White -> Purple	1					18	375	1		4	shld,any	gpv,qty=3						useitem				CD_Purple			1	1	state		221	1	1	CD_Tracker			6	6	CD_White			-1	-1	state		215	-1	-1																																																											0
Shield - White -> Normal	1					18	375	1		4	shld,any	yps,qty=3						useitem														CD_Tracker			-1	-1	CD_White			-1	-1	state		215	-1	-1																																																											0
Shield - Black -> Red	1					18	375	2		4	shld,any	gpr,qty=3						useitem				CD_Red			1	1	state		217	1	1	CD_Tracker			1	1	CD_Black			-1	-1	state		216	-1	-1																																																											0
Shield - Black -> Green	1					18	375	2		4	shld,any	gpg,qty=3						useitem				CD_Green			1	1	state		218	1	1	CD_Tracker			2	2	CD_Black			-1	-1	state		216	-1	-1																																																											0
Shield - Black -> Blue	1					18	375	2		4	shld,any	gpb,qty=3						useitem				CD_Blue			1	1	state		219	1	1	CD_Tracker			3	3	CD_Black			-1	-1	state		216	-1	-1																																																											0
Shield - Black -> Yellow	1					18	375	2		4	shld,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		220	1	1	CD_Tracker			4	4	CD_Black			-1	-1	state		216	-1	-1																																																											0
Shield - Black -> Purple	1					18	375	2		4	shld,any	gpv,qty=3						useitem				CD_Purple			1	1	state		221	1	1	CD_Tracker			5	5	CD_Black			-1	-1	state		216	-1	-1																																																											0
Shield - Black -> White	1					18	375	2		4	shld,any	gpw,qty=3						useitem				CD_White			1	1	state		215	1	1	CD_Tracker			-1	-1	CD_Black			-1	-1	state		216	-1	-1																																																											0
Shield - Black -> Normal	1					18	375	2		4	shld,any	yps,qty=3						useitem														CD_Tracker			-2	-2	CD_Black			-1	-1	state		216	-1	-1																																																											0
Shield - Red -> Green	1					18	375	3		4	shld,any	gpg,qty=3						useitem				CD_Green			1	1	state		218	1	1	CD_Tracker			1	1	CD_Red			-1	-1	state		217	-1	-1																																																											0
Shield - Red -> Blue	1					18	375	3		4	shld,any	gpb,qty=3						useitem				CD_Blue			1	1	state		219	1	1	CD_Tracker			2	2	CD_Red			-1	-1	state		217	-1	-1																																																											0
Shield - Red -> Yellow	1					18	375	3		4	shld,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		220	1	1	CD_Tracker			3	3	CD_Red			-1	-1	state		217	-1	-1																																																											0
Shield - Red -> Purple	1					18	375	3		4	shld,any	gpv,qty=3						useitem				CD_Purple			1	1	state		221	1	1	CD_Tracker			4	4	CD_Red			-1	-1	state		217	-1	-1																																																											0
Shield - Red -> White	1					18	375	3		4	shld,any	gpw,qty=3						useitem				CD_White			1	1	state		215	1	1	CD_Tracker			-2	-2	CD_Red			-1	-1	state		217	-1	-1																																																											0
Shield - Red -> Black	1					18	375	3		4	shld,any	skz,qty=3						useitem				CD_Black			1	1	state		216	1	1	CD_Tracker			-1	-1	CD_Red			-1	-1	state		217	-1	-1																																																											0
Shield - Red -> Normal	1					18	375	3		4	shld,any	yps,qty=3						useitem														CD_Tracker			-3	-3	CD_Red			-1	-1	state		217	-1	-1																																																											0
Shield - Green -> Blue	1					18	375	4		4	shld,any	gpy,qty=3						useitem				CD_Blue			1	1	state		219	1	1	CD_Tracker			1	1	CD_Green			-1	-1	state		218	-1	-1																																																											0
Shield - Green -> Yellow	1					18	375	4		4	shld,any	gpv,qty=3						useitem				CD_Yellow			1	1	state		220	1	1	CD_Tracker			2	2	CD_Green			-1	-1	state		218	-1	-1																																																											0
Shield - Green -> Purple	1					18	375	4		4	shld,any	gpw,qty=3						useitem				CD_Purple			1	1	state		221	1	1	CD_Tracker			3	3	CD_Green			-1	-1	state		218	-1	-1																																																											0
Shield - Green -> White	1					18	375	4		4	shld,any	skz,qty=3						useitem				CD_White			1	1	state		215	1	1	CD_Tracker			-3	-3	CD_Green			-1	-1	state		218	-1	-1																																																											0
Shield - Green -> Black	1					18	375	4		4	shld,any	gpr,qty=3						useitem				CD_Black			1	1	state		216	1	1	CD_Tracker			-2	-2	CD_Green			-1	-1	state		218	-1	-1																																																											0
Shield - Green -> Red	1					18	375	4		4	shld,any	gpg,qty=3						useitem				CD_Red			1	1	state		217	1	1	CD_Tracker			-1	-1	CD_Green			-1	-1	state		218	-1	-1																																																											0
Shield - Green -> Normal	1					18	375	4		4	shld,any	yps,qty=3						useitem														CD_Tracker			-4	-4	CD_Green			-1	-1	state		218	-1	-1																																																											0
Shield - Blue -> Yellow	1					18	375	5		4	shld,any	gpv,qty=3						useitem				CD_Yellow			1	1	state		220	1	1	CD_Tracker			1	1	CD_Blue			-1	-1	state		219	-1	-1																																																											0
Shield - Blue -> Purple	1					18	375	5		4	shld,any	gpw,qty=3						useitem				CD_Purple			1	1	state		221	1	1	CD_Tracker			2	2	CD_Blue			-1	-1	state		219	-1	-1																																																											0
Shield - Blue -> White	1					18	375	5		4	shld,any	skz,qty=3						useitem				CD_White			1	1	state		215	1	1	CD_Tracker			-4	-4	CD_Blue			-1	-1	state		219	-1	-1																																																											0
Shield - Blue -> Black	1					18	375	5		4	shld,any	gpr,qty=3						useitem				CD_Black			1	1	state		216	1	1	CD_Tracker			-3	-3	CD_Blue			-1	-1	state		219	-1	-1																																																											0
Shield - Blue -> Red	1					18	375	5		4	shld,any	gpg,qty=3						useitem				CD_Red			1	1	state		217	1	1	CD_Tracker			-2	-2	CD_Blue			-1	-1	state		219	-1	-1																																																											0
Shield - Blue -> Green	1					18	375	5		4	shld,any	gpb,qty=3						useitem				CD_Green			1	1	state		218	1	1	CD_Tracker			-1	-1	CD_Blue			-1	-1	state		219	-1	-1																																																											0
Shield - Blue -> Normal	1					18	375	5		4	shld,any	yps,qty=3						useitem														CD_Tracker			-5	-5	CD_Blue			-1	-1	state		219	-1	-1																																																											0
Shield - Yellow -> Purple	1					18	375	6		4	shld,any	gpv,qty=3						useitem				CD_Purple			1	1	state		221	1	1	CD_Tracker			1	1	CD_Yellow			-1	-1	state		220	-1	-1																																																											0
Shield - Yellow -> White	1					18	375	6		4	shld,any	gpw,qty=3						useitem				CD_White			1	1	state		215	1	1	CD_Tracker			-5	-5	CD_Yellow			-1	-1	state		220	-1	-1																																																											0
Shield - Yellow -> Black	1					18	375	6		4	shld,any	skz,qty=3						useitem				CD_Black			1	1	state		216	1	1	CD_Tracker			-4	-4	CD_Yellow			-1	-1	state		220	-1	-1																																																											0
Shield - Yellow -> Red	1					18	375	6		4	shld,any	gpr,qty=3						useitem				CD_Red			1	1	state		217	1	1	CD_Tracker			-3	-3	CD_Yellow			-1	-1	state		220	-1	-1																																																											0
Shield - Yellow -> Green	1					18	375	6		4	shld,any	gpg,qty=3						useitem				CD_Green			1	1	state		218	1	1	CD_Tracker			-2	-2	CD_Yellow			-1	-1	state		220	-1	-1																																																											0
Shield - Yellow -> Blue	1					18	375	6		4	shld,any	gpb,qty=3						useitem				CD_Blue			1	1	state		219	1	1	CD_Tracker			-1	-1	CD_Yellow			-1	-1	state		220	-1	-1																																																											0
Shield - Yellow -> Normal	1					18	375	6		4	shld,any	yps,qty=3						useitem														CD_Tracker			-6	-6	CD_Yellow			-1	-1	state		220	-1	-1																																																											0
Shield - Purple -> White	1					18	375	7		4	shld,any	gpw,qty=3						useitem				CD_White			1	1	state		215	1	1	CD_Tracker			-6	-6	CD_Purple			-1	-1	state		221	-1	-1																																																											0
Shield - Purple -> Black	1					18	375	7		4	shld,any	skz,qty=3						useitem				CD_Black			1	1	state		216	1	1	CD_Tracker			-5	-5	CD_Purple			-1	-1	state		221	-1	-1																																																											0
Shield - Purple -> Red	1					18	375	7		4	shld,any	gpr,qty=3						useitem				CD_Red			1	1	state		217	1	1	CD_Tracker			-4	-4	CD_Purple			-1	-1	state		221	-1	-1																																																											0
Shield - Purple -> Green	1					18	375	7		4	shld,any	gpg,qty=3						useitem				CD_Green			1	1	state		218	1	1	CD_Tracker			-3	-3	CD_Purple			-1	-1	state		221	-1	-1																																																											0
Shield - Purple -> Blue	1					18	375	7		4	shld,any	gpb,qty=3						useitem				CD_Blue			1	1	state		219	1	1	CD_Tracker			-2	-2	CD_Purple			-1	-1	state		221	-1	-1																																																											0
Shield - Purple -> Yellow	1					18	375	7		4	shld,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		220	1	1	CD_Tracker			-1	-1	CD_Purple			-1	-1	state		221	-1	-1																																																											0
Shield - Purple -> Normal	1					18	375	7		4	shld,any	yps,qty=3						useitem														CD_Tracker			-7	-7	CD_Purple			-1	-1	state		221	-1	-1																																																											0
